Ano,Mes,Fecha_Key
2016,Ene,2016Ene
2016,Feb,2016Feb
2016,Mar,2016Mar
2016,Abr,2016Abr
2016,May,2016May
2016,Jun,2016Jun
2016,Jul,2016Jul
2016,Ago,2016Ago
2016,Sep,2016Sep
2016,Oct,2016Oct
2016,Nov,2016Nov
2016,Dic,2016Dic
2017,Ene,2017Ene
2017,Feb,2017Feb
2017,Mar,2017Mar
2017,Abr,2017Abr
2017,May,2017May
2017,Jun,2017Jun
2017,Jul,2017Jul
2017,Ago,2017Ago
2017,Sep,2017Sep
2017,Oct,2017Oct
2017,Nov,2017Nov
2017,Dic,2017Dic
2018,Ene,2018Ene
2018,Feb,2018Feb
2018,Mar,2018Mar
2018,Abr,2018Abr
2018,May,2018May
2018,Jun,2018Jun
2018,Jul,2018Jul
2018,Ago,2018Ago
2018,Sep,2018Sep
2018,Oct,2018Oct
2018,Nov,2018Nov
2018,Dic,2018Dic
